STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-39829	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-39829	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-39828	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-39827	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-39827	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2025-58181	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2025-58181	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2025-47914	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2025-47914	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2025-47913	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2025-47913	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2025-22869	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2024-45337	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2023-48795	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2026-42506	true	consul-1.16.1-1.sl9^1
STAK-prometheus-memcached-exporter-pvs___1.0-20260914.0422	golang.org/x/net	v0.47.0	CVE-2026-39821	true	prometheus-memcached-exporter-0.15.5-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2026-39821	true	consul-1.16.1-1.sl9^1
STAK-prometheus-mysqld-exporter-pvs___1.0-20260914.0422	golang.org/x/net	v0.33.0	CVE-2026-39821	true	prometheus-mysqld-exporter-0.17.2-1.sl9^1
STAK-prometheus-openstack-exporter-pvs___1.0-20260914.0422	golang.org/x/net	v0.10.0	CVE-2026-39821	true	prometheus-openstack-exporter-1.7.0-1.sl9^1
STAK-prometheus-memcached-exporter-pvs___1.0-20260914.0422	golang.org/x/net	v0.47.0	CVE-2026-33814	true	prometheus-memcached-exporter-0.15.5-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2026-33814	true	consul-1.16.1-1.sl9^1
STAK-prometheus-mysqld-exporter-pvs___1.0-20260914.0422	golang.org/x/net	v0.33.0	CVE-2026-33814	true	prometheus-mysqld-exporter-0.17.2-1.sl9^1
STAK-prometheus-alertmanager-pvs___1.0-20260914.0422	golang.org/x/net	v0.0.0-20210726213435-c6fcb2dbf985	CVE-2026-33814	true	golang-github-prometheus-alertmanager-0.23.0-6.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2026-27136	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2026-25681	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2026-25680	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2025-58190	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2025-47911	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2025-22872	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2025-22870	true	consul-1.16.1-1.sl9^1
STAK-prometheus-openstack-exporter-pvs___1.0-20260914.0422	golang.org/x/net	v0.10.0	CVE-2025-22870	true	prometheus-openstack-exporter-1.7.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2024-45338	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2023-45288	true	consul-1.16.1-1.sl9^1
STAK-prometheus-alertmanager-pvs___1.0-20260914.0422	golang.org/x/net	v0.0.0-20210726213435-c6fcb2dbf985	CVE-2023-45288	true	golang-github-prometheus-alertmanager-0.23.0-6.sl9^1
STAK-prometheus-openstack-exporter-pvs___1.0-20260914.0422	golang.org/x/net	v0.10.0	CVE-2023-45288	true	prometheus-openstack-exporter-1.7.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/net	v0.13.0	CVE-2023-44487	true	consul-1.16.1-1.sl9^1
